NUMBER,NAME,ARTIST,VIEWS,YEAR,GENRE,YOUTUBE.URL
1,Despacito,"Luis Fonsi, Daddy Yankee ","7,86",2017,"Latin Pop, Reggaeton ",(2) Luis Fonsi - Despacito ft. Daddy Yankee - YouTube
2,Shape Of You,Ed Sheeran,"5,73",2017,Pop,(2) Ed Sheeran - Shape of You (Official Music Video) - YouTube
3,See You Again,"Charlie Puth, Wiz Khalifa","5,52",2015,Pop,(2) Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack - YouTube
4,Uptown Funk,"Mark Ronson, Bruno Mars","4,58",2014,"Funk, Boogie, Pop",(2) Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars - YouTube
5,Gangnam Style,PSY,"4,43",2012,K-Pop,(2) PSY - GANGNAM STYLE(강남스타일) M/V - YouTube
6,Dame Tu Cosita,"El Chombo, Cutty Ranks","3,95",2018,"Latin Urban, Dance/Electronic",(2) El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music] - YouTube
7,Sugar,Marron V,"3,7",2015,"Disco, Funk, Pop, Soul",(2) Maroon 5 - Sugar (Official Music Video) - YouTube
8,Roar,Katy Perry,"3,59",2013,"R&B/Soul, Pop",(2) Katy Perry - Roar (Official) - YouTube
9,Counting Stars,One Republic,"3,58",2013,"Pop Rock, Folk Pop, Dance Pop, Pop",(2) OneRepublic - Counting Stars (Official Music Video) - YouTube
10,Sorry,Justin Bieber,"3,55",2015,"Dance/Electronic, Pop, R&B/Soul, Hip-Pop/Rap",(2) Justin Bieber - Sorry (PURPOSE : The Movement) - YouTube
11,Thinking Out Loud,Ed Sheeran,"3,45",2014,"R&B/Soul, Pop",(2) Ed Sheeran - Thinking Out Loud (Official Music Video) - YouTube
12,Crazy Frog,Axel F,"3,37",2009,"Dance/Electronic, Japanese Pop",(2) Crazy Frog - Axel F (Official Video) - YouTube
13,Girls Like You,"Marron V, Cardi B","3,298",2018,"Dance/Electronic, Pop",(2) Maroon 5 - Girls Like You ft. Cardi B (Official Music Video) - YouTube
14,Faded,Alan Walker,"3,289",2015,"House, Pop",(2) Alan Walker - Faded - YouTube
15,Dark Horse,"Katy Perry, Juicy J","3,283",2014,"R&B/Soul, Pop",(2) Katy Perry - Dark Horse (Official) ft. Juicy J - YouTube
16,Let Her Go,Passenger,"3,23",2012,Folk,(2) Passenger | Let Her Go (Official Video) - YouTube
17,Bailando,"Enrique Iglesias, Descemer Bueno, Gente da Zona","3,21",2014,"Dance Music, Latin Urban, Flamenco, Pop","(2) Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español) - YouTube"
18,Lean On,Major Lazer,"3,212",2015,"Dance/Electronic, Hip-Hop/Rap, Pop",(2) Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video) - YouTube
19,Shake It Off,Taylor Swift,"3,176",2014,"Alternative, Pop",(2) Taylor Swift - Shake It Off - YouTube
20,Perfect,Ed Sheeran,"3,1762",2017,Pop,(2) Ed Sheeran - Perfect (Official Music Video) - YouTube
21,Waka Waka,Shakira,"3,15",2010,"R&B/Soul, Pop",(2) Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song) - YouTube
22,Mi Gente,"J Balvin, Willy William","3,08",2017,"Reggaeton, Moombahton","(2) J Balvin, Willy William - Mi Gente (Official Video) - YouTube"
23,Hello,Adele,"2,98",2015,"R&B/Soul, Pop",(2) Adele - Hello - YouTube
24,Blank Space,Taylor Swift,"2,97",2014,Pop,(2) Taylor Swift - Blank Space - YouTube
25,Let It Go,Idina Menzel,"2,85",2014,Show Tune,(2) FROZEN | Let It Go Sing-along | Official Disney UK - YouTube
26,The Gummy Bear Song,,"2,84",2007,Kids Song,(2) The Gummy Bear Song - Long English Version - YouTube
27,We Don't Talk Anymore,"Charlie Puth, Selena Gomez","2,82",2016,"R&B/Soul, Pop",(2) Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video] - YouTube
28,Closer,The Chainsmokers,"2,81",2016,"Dance/Electronic, Pop",(2) The Chainsmokers - Closer (Lyric) ft. Halsey - YouTube
29,Baby,Justin Bieber,"2,75",2010,Pop,(2) Justin Bieber - Baby (Official Music Video) ft. Ludacris - YouTube
30,Chantaje,"Shakira, Maluma","2,73",2016,"Pop, Reggaeron",(2) Shakira - Chantaje (Official Video) ft. Maluma - YouTube